WinRoute;2;3
AVM IGD CTRL Service;2;4
Asftr!_for6ff;1;5
Extensions PDF Printer Service;1;1
LVPrcS64;1;4
MotoHelper;3;3
HWDeviceService.exe;3;2.33
ArchiCrypt Ultimate RAM-Disk 2;2;5
EpsonCustomerResearchParticipation;3;2.33
bsserv;1;5
HyperDeskCustomThemeEnabler;2;2.5
KiesAllShare;1;5
OpenVPNAccessClient;1;5
MAGIX StartUp Analyze Service;1;5
gupdate1ca96667104d870;1;5
Desura Install Service;1;4
Amsp;8;4.38
TmListen;1;5
WCUService_STC_FF;1;5
PdiService;2;4
DTSRVC;2;4
OpenVPNService;8;4.88
IMFservice;13;3.38
BrYNSvc;5;2.6
SpeedBoosterSvc;4;2.5
RJSuService;2;1
Apache2.2-Zend;2;4
MySQL_ZendServer51;1;4
Maxtor Sync Service;1;5
BootRacerServ;6;4.5
EgisTec Service;1;4
maconfservice;3;2.67
WinTabService;2;2.5
ZuneNetworkSvc;3;2.67
OOCleverCacheAgent;2;4
Paragon System Backup Service;2;4
HP Port Resolver;1;3
IBG_gds_db;1;5
IBS_gds_db;2;3
mscs;2;4.5
msctsvr;2;4.5
TVersityMediaServer;2;3
Intel(R) Desktop Boards FSC Application Service;2;4
CyberLink Media Library Service;1;1
CLSched;1;1
ArcGIS License Manager;2;5
DVD-RAM_Service;2;4.5
Fix-It Task Manager;5;4.4
Notebook Hardware Control Service;2;5
SATARaid5 Config Service;1;5
AMD FusionUtility Service;2;3.5
BOINC;3;5
